"ID","Title","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C1","Usuwanie produktu z koszyka","Trefl Kymko","3/14/2022 5:35 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Trefl Kymko","3/14/2022 5:35 PM"
"C2","Zmniejszanie i zwiÄ™kszanie iloÅ›ci danego produktu w koszyku","Trefl Kymko","3/14/2022 5:35 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Trefl Kymko","3/14/2022 5:35 PM"
"C3","Dodanie wielu rÃ³znych produktÃ³w","Trefl Kymko","3/14/2022 5:35 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Trefl Kymko","3/14/2022 5:35 PM"
"C23","Test ekploracyjny  sklepu","Trefl Kymko","3/14/2022 6:53 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Trefl Kymko","3/14/2022 6:53 PM"
"C24","test eksploracyjny","Trefl Kymko","3/14/2022 6:57 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Trefl Kymko","3/14/2022 6:57 PM"
"C4","Kryteria oceny defektÃ³w","Trefl Kymko","3/14/2022 6:03 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Trefl Kymko","3/14/2022 6:03 PM"
"C5","Zdefiniowanie iloÅ›ci aplikacji","Trefl Kymko","3/14/2022 6:03 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Trefl Kymko","3/14/2022 6:03 PM"
"C6","W kaÅ¼dym zadaniu w aplikacji ma byÄ‡ dokÅ‚adnie 1 defekt","Trefl Kymko","3/14/2022 6:03 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Trefl Kymko","3/14/2022 6:03 PM"
"C7","brak moÅ¼liwoÅ›ci raportowania defektÃ³w w trybie czÅ‚onka druÅ¼yny","Trefl Kymko","3/14/2022 6:03 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Trefl Kymko","3/14/2022 6:03 PM"
"C8","Sprawdzenie rÃ³Å¼nic pomiÄ™dzy poszczegÃ³lnymi wersjami aplikacji","Trefl Kymko","3/14/2022 6:03 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Trefl Kymko","3/14/2022 6:03 PM"
"C9","Odpowiednia iloÅ›Ä‡ bÅ‚Ä™dÃ³w w zadaniach i moÅ¼liwoÅ›Ä‡ ich zaraportowania","Trefl Kymko","3/14/2022 6:03 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Trefl Kymko","3/14/2022 6:03 PM"
"C10","W aplikacji publicznej powinno byÄ‡ nie mniej niÅ¼ 15 zadaÅ„","Trefl Kymko","3/14/2022 6:03 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Trefl Kymko","3/14/2022 6:03 PM"
"C11","w wersji demonstracyjnej ma byÄ‡ tylko jedno zadanie","Trefl Kymko","3/14/2022 6:03 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Trefl Kymko","3/14/2022 6:03 PM"
"C12","Brak moÅ¼liwoÅ›Ä‡i zmiany trybu pracy podczas dziaÅ‚ania aplikacji","Trefl Kymko","3/14/2022 6:03 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Trefl Kymko","3/14/2022 6:03 PM"
"C13","Tworzenie i wczytywanie kopii zapasowej podczas klikania przycisku ""ZnalazÅ‚em defekt"" i ponownym uruchamianiu programu","Trefl Kymko","3/14/2022 6:03 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Trefl Kymko","3/14/2022 6:03 PM"
"C14","Sprawdzenie wyÅ›wietlonego czasu do koÅ„ca trwania kaÅ¼dej rundy","Trefl Kymko","3/14/2022 6:03 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Trefl Kymko","3/14/2022 6:03 PM"
"C15","Prezentacja poleceÅ„","Trefl Kymko","3/14/2022 6:03 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Trefl Kymko","3/14/2022 6:03 PM"
"C16","Raportowanie defektu - happy path","Trefl Kymko","3/14/2022 6:03 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Trefl Kymko","3/14/2022 6:03 PM"
"C17","Potwierdzenie zakoÅ„czenia pracy aplikacji Mrbuggy3","Trefl Kymko","3/14/2022 6:03 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Trefl Kymko","3/14/2022 6:03 PM"
"C18","Okno z zadaniem o nr 2 zawierajÄ…cym defekt dla caÅ‚kowitego pokrycia prostokÄ…tÃ³w","Trefl Kymko","3/14/2022 6:03 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Trefl Kymko","3/14/2022 6:03 PM"
"C19","Aplikacja ma byÄ‡ w jÄ™zyku polskim","Trefl Kymko","3/14/2022 6:03 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Trefl Kymko","3/14/2022 6:03 PM"
